사업코드,사업명,사업구분,국내외구분,발주처,PM부서,발주방법,등록구분,진행상태,공동도급사,계약일자,변경준공일(차수),주관사
C20220003,세종 눌왕지구 도시개발사업 조사설계용역(재해),설계,국내,세종 눌왕지구 도시개발사업조합 설립 추진위원회,도시계획부,설계시공분리발주,본사업,진행,㈜수성엔지니어링(100),2021-12-29,2024-12-30,주관사
C20220002,세종 눌왕지구 도시개발사업 조사설계용역(교통),설계,국내,세종 눌왕지구 도시개발사업조합 설립 추진위원회,교통부,설계시공분리발주,본사업,진행,㈜수성엔지니어링(100),2021-12-29,2024-12-30,주관사
C20220001,세종 눌왕지구 도시개발사업 조사설계용역,설계,국내,세종 눌왕지구 도시개발사업조합 설립 추진위원회,도시계획부,설계시공분리발주,본사업,진행,㈜수성엔지니어링(100),2021-12-29,2024-12-30,주관사
C20210255,종합교통계획 수립 용역,설계,국내,경상북도 영천시,교통부,설계시공분리발주,본사업,준공,"㈜다산컨설턴트(36), 아주대학교(35), ㈜수성엔지니어링(29)",2021-12-30,2022-12-30,비주관사
C20210254,금강남부권(2차) 급수체계조정사업 기본 및 실시설계용역,설계,국내,한국수자원공사,상하수도부,설계시공분리발주,본사업,준공,"㈜한국종합기술(45.38), ㈜케이지엔지니어링종합건축사사무소(15.53), ㈜선진엔지니어링종합건축사사무소(15.33), ㈜수성엔지니어링(15.33), ㈜대성종합엔지니어링(강원)(8.43)",2021-12-28,2023-12-17,비주관사
C20210253,만경강 외 2개소 국가하천 제방안전성 평가 및 정보지도 작성용역,설계,국내,전북지방환경청,수자원부,설계시공분리발주,본사업,진행,"㈜도화엔지니어링(34.3), ㈜더지오(20.4), ㈜지오로직스(17.85), ㈜다산컨설턴트(9.8), SC(7.65), ㈜양광엔지니어링(5.1), ㈜수성엔지니어링(4.9)",2021-12-28,2025-04-21,비주관사
C20210252,파라과이 아순시온 도시교통혼잡 완화를 위한 대중교통개선사업 수행용역업체(PC) 선정(1단계),설계,해외,한국국제협력단,교통부,설계시공분리발주,본사업,진행,"(주)시티랩스(42.28), 주식회사 조인잇(23.26), 이지트래픽(21.64), ㈜동부아이씨티(8.83), ㈜수성엔지니어링(3.99)",2021-12-29,2025-02-28,비주관사
C20210251,국도37호선 양평옥천-가평설악 도로건설공사 기본 및 실시설계용역,설계,국내,서울지방국토관리청,도로부,설계시공분리발주,본사업,준공,"㈜삼안(27.62), ㈜수성엔지니어링(20.93), ㈜동성엔지니어링(17.57), ㈜화신엔지니어링(17.57), ㈜로우코리아(9.85), 셀파이엔씨 주식회사(6.46)",2021-12-28,2024-12-28,비주관사
C20210250,윗배우니천(소하천) 정비사업 실시설계 용역,설계,국내,파주시 도시관리사업본부,수자원부,설계시공분리발주,본사업,준공,"㈜수성엔지니어링(68.4), (주)에이스디이씨(18.3), ㈜토아엔지니어링(13.3)",2021-12-28,2024-12-24,주관사
C20210249A,점촌처리구역 노후하수관로(오수)정비사업(2단계) 외 1건 기본 및 실시설계용역_추가A,설계,국내,㈜해인엔지니어링건축사사무소,상하수도부,기타,지분차액,준공,㈜수성엔지니어링(100),2022-03-22,2022-12-21,주관사
C20210249,점촌처리구역 노후하수관로(오수)정비사업(2단계) 외 1건 기본 및 실시설계용역,설계,국내,경상북도 문경시 상하수도사업소,상하수도부,설계시공분리발주,본사업,준공,"㈜수성엔지니어링(29.02), (주)가람엔지니어링건축사사무소(21.58), (주) 동진이엔시(21.17), ㈜동해종합기술공사(20.39), ㈜해인엔지니어링건축사사무소(7.84)",2021-12-24,2023-09-13,주관사
C20210248,안동지역주택조합 기부채납공원 조경설계 용역,설계,국내,안동 지역주택조합,조경레저부,설계시공분리발주,본사업,진행,㈜수성엔지니어링(100),2021-12-15,2025-06-30,주관사
C20210247,엘살바도르 산살바도르 도시교통 마스터플랜 수립 및 교통신호체계 개선사업 PMC용역,설계,해외,한국국제협력단,교통부,설계시공분리발주,본사업,진행,"㈜수성엔지니어링(68.06), ㈜제일엔지니어링종합건축사사무소(16.39), 주식회사 에드원테크(15.55)",2021-12-14,2025-12-31,주관사
C20210246,인도네시아 자카르타 광역권 지능형교통체계(ITS) 마스터플랜 수립 및 시범시스템 구축사업 사업수행용역(PC),설계,해외,한국국제협력단,교통부,기타,본사업,진행,"㈜수성엔지니어링(50.28), 삼부기술(주)(14.2), 한국건설기술연구원(13.46), ㈔한국지능형교통체계협회(11.46), (주)시티랩스(10.6)",2021-11-12,2025-03-31,주관사
C20210245,방글라데시 도로교통공사 친환경(CNG)버스 지원사업 타당성조사(F/S) 용역,설계,해외,한국수출입은행,교통부,설계시공분리발주,본사업,준공,"국토연구원(38.63), ㈜수성엔지니어링(36.63), 서진이엔에스㈜(24.74)",2021-12-13,2022-08-19,비주관사
C20210244,서안양 친환경 융합 스마트밸리 조성사업 민간사업자 공모 제안서 작성 용역,설계,국내,에스디에이엠씨(주),도시계획부,설계시공분리발주,본사업,준공,"㈜수성엔지니어링(50), ㈜일신이앤씨(50)",2021-12-17,2021-12-17,주관사
C20210243,서부간선 지하도로 민간투자사업 건설공사 (위탁용역)감리/감리용역(토목/건축)/준공 후 건설사업,감리,국내,현대건설㈜,건설사업관리부,용역형 건설사업관리,본사업,준공,㈜수성엔지니어링(100),2021-11-01,2021-12-31,주관사
C20210242,가사 자연재해위험개선지구 정비사업 실시설계용역,설계,국내,경상북도,수자원부,설계시공분리발주,본사업,준공,"㈜수성엔지니어링(46.2), 태산(34), ㈜중앙방재엔지니어링(19.8)",2021-12-13,2024-01-05,주관사
C20210241A,혁신원자력연구단지 조성사업 사후환경영향조사용역(공사시)_추가A,설계,국내,디에스,환경사업부,기타,지분차액,진행,㈜수성엔지니어링(100),2022-01-11,2025-12-12,주관사
C20210241,혁신원자력연구단지 조성사업 사후환경영향조사용역(공사시),설계,국내,한국원자력연구원,환경사업부,설계시공분리발주,본사업,진행,"㈜수성엔지니어링(90), 디에스(10)",2021-12-13,2025-12-12,주관사
C20210240,울산광역시 자연재해저감 종합계획 수립 용역,설계,국내,울산광역시,수자원부,설계시공분리발주,본사업,중지,"㈜수성엔지니어링(48), ㈜경호엔지니어링종합건축사사무소(37), 창미(15)",2021-12-08,2024-02-11,주관사
C20210239,상주지구 양수장시설개선사업 세부설계 용역,설계,국내,한국농어촌공사 상주지사,수자원부,설계시공분리발주,본사업,중지,"㈜도화엔지니어링(71.01), ㈜수성엔지니어링(16.26), ㈜우경엔지니어링(12.73)",2021-12-07,2024-12-30,비주관사
C20210238,평택~오송 2복선화 건설사업 환경영향평가 용역,설계,국내,국가철도공단,환경사업부,설계시공분리발주,본사업,준공,"㈜수성엔지니어링(50), ㈜한맥기술(40), ㈜엔탑엔지니어링(10)",2021-12-03,2023-12-31,주관사
C20210237,베트남 북부 산악지방 교통 연결사업-조달지원 및 시공감리 용역,감리,해외,베트남 MOT,구조부,용역형 건설사업관리,본사업,진행,"㈜삼보기술단(50), ㈜케이씨아이(25), ㈜수성엔지니어링(25)",2021-11-24,2025-11-23,비주관사
C20210236,섬진강 등 3개 국가하천 유지관리계획 수립용역,설계,국내,영산강유역환경청,수자원부,설계시공분리발주,본사업,진행,"㈜이산(70), ㈜동명기술공단종합건축사사무소(20), ㈜수성엔지니어링(10)",2021-12-02,2025-12-26,비주관사
C20210235,신림~봉천 터널 도로건설공사(1공구) 환기소 이전 설계비 인력지원,설계,국내,극동엔지니어링㈜,도로부,설계시공분리발주,본사업,준공,㈜수성엔지니어링(100),2021-10-26,2024-07-31,주관사
C20210234,마닐라 LRT2 동측 코게오연장선(Masinag~Cogeo),지원,해외,해외건설협회,철도설계부,설계시공분리발주,본사업,준공,"㈜수성엔지니어링(55.79), 대아이티(27.94), 국가철도공단(16.28)",2021-09-01,2022-12-31,주관사
C20210233,베트남 케넷철도 재건사업 실시설계 및 건설사업관리,설계,해외,PMU-Rail(Railway Project Management Unit),철도설계부,해외(미사용),본사업,진행,"㈜수성엔지니어링(35), ㈜삼보기술단(35), ㈜동명기술공단종합건축사사무소(30)",2021-11-22,2025-06-22,주관사
C20210232,역세권개발사업 기본구상 용역,설계,국내,포천도시공사,도시계획부,설계시공분리발주,본사업,준공,㈜수성엔지니어링(100),2021-11-29,2022-10-31,주관사
C20210231,국도23호선 영암 연소2지구 위험도로 개선공사 중 피암터널 구조물 설계,설계,국내,주식회사 한울이엔씨,구조부,설계시공분리발주,본사업,준공,㈜수성엔지니어링(100),2021-10-02,2022-01-30,주관사
C20210230,양산시 지방상수도 현대화사업 건설사업관리 용역,감리,국내,경상남도 양산시 상하수도사업소,건설사업관리부,용역형 건설사업관리,본사업,진행,"㈜동성엔지니어링(42.07), ㈜수성엔지니어링(37.39), ㈜서화기술공사(14.02), ㈜이산기술단(6.52)",2021-11-29,2026-01-08,비주관사
C20210229,옥천 국제종합기계부지 도시개발사업 타당성 검토 용역,설계,국내,㈜에이치디홀딩스리미티드,도시계획부,설계시공분리발주,본사업,준공,㈜수성엔지니어링(100),2021-11-22,2021-12-31,주관사
C20210228,평택~오송 2복선화 제5공구 기본설계 용역,설계,국내,쌍용건설 (주),구조부,설계시공일괄발주(T/K),본사업,준공,"동부엔지니어링㈜(50.38), (주)서하기술단(23.69), ㈜수성엔지니어링(17.85), ㈜선구엔지니어링(8.08)",2021-11-16,2022-06-02,비주관사
C20210227,태백선 초리천2교 등 3개소 교량확장 기타공사 감독 권한대행 등 건설사업관리용역,감리,국내,국가철도공단,철도건설관리부,종합심사낙찰제(미사용),본사업,준공,"㈜수성엔지니어링(40), ㈜대한콘설탄트(20), 동부엔지니어링㈜(20), ㈜이산(20)",2021-11-29,2024-12-31,주관사
C20210226,서구 거첨도~약암리간 도로개설공사 건설사업관리용역,감리,국내,인천광역시 종합건설본부,건설사업관리부,용역형 건설사업관리,본사업,중지,"㈜수성엔지니어링(55.27), 주식회사 대한(36.84), ㈜한신이앤씨(7.89)",2021-11-25,2025-02-22,주관사
C20210225,대구 군 공항 이전사업 기본계획 타당성 분석 연구 용역,설계,국내,국방부본부,공항및인프라사업부,설계시공분리발주,본사업,준공,"㈜수성엔지니어링(40), ㈜삼우씨엠건축사사무소(30), ㈜일신이앤씨(30)",2021-11-22,2022-12-16,주관사
C20210224A,김해 용두지구 도시개발사업 전략 및 환경영향평가 용역_추가A,설계,국내,㈜도화엔지니어링,환경사업부,기타,지분차액,진행,㈜수성엔지니어링(100),2022-01-25,2023-02-21,주관사
C20210224,김해 용두지구 도시개발사업 전략 및 환경영향평가 용역,설계,국내,경남개발공사,환경사업부,설계시공분리발주,본사업,중지,"㈜수성엔지니어링(70), ㈜도화엔지니어링(30)",2021-11-19,2023-02-21,주관사
C20210223,남부내륙철도 건설사업 설계의 적정성 검토의 기술적 검토 및 비용 추정,설계,국내,한국개발연구원,철도설계부,설계시공분리발주,본사업,준공,㈜수성엔지니어링(100),2021-11-15,2022-01-28,주관사
C20210222,국립축산과학원 축산자원개발부 이전에 따른 이주단지 조성사업 조사설계용역,설계,국내,국립축산과학원 축산자원개발부,도시설계부,설계시공분리발주,본사업,중지,"㈜수성엔지니어링(58.53), 주식회사 명성엔지니어링종합건축사사무소(31.51), ㈜토아엔지니어링(9.96)",2021-11-18,2024-04-19,주관사
C20210220,검암 플라시아 복합환승센터 복합개발사업 민간사업자 공모 사업제안서 작성용역 중 개발계획부문(도시계획) 사업계획서 작성,설계,국내,피엠 파트너스(PM Partners),도시계획부,설계시공분리발주,본사업,진행,㈜수성엔지니어링(100),2021-11-11,2022-02-18,주관사
C20210219,인천 항동 물류창고 개발사업 용역,설계,국내,인천항동알로지스피에프브이㈜,도시계획부,설계시공분리발주,본사업,진행,"㈜수성엔지니어링(57.11), ㈜장원(42.89)",2021-11-09,2024-12-01,주관사
C20210218,축산자원개발부 이전사업 전략환경영향평가 용역,설계,국내,국립축산과학원 축산자원개발부,환경사업부,설계시공분리발주,본사업,준공,㈜수성엔지니어링(100),2021-11-08,2024-01-15,주관사
C20210217,장항국가생태산업단지 2-1단계 조경(공원.녹지 등) 기본 및 실시설계용역,설계,국내,한국토지주택공사,조경레저부,설계시공분리발주,본사업,준공,"㈜수성엔지니어링(85), 명산L&C(15)",2021-11-09,2023-12-31,주관사
C20210216,부산.진해경제자유구역 명지지구 2단계 1공구 조성공사 시공단계 건설사업관리용역,감리,국내,한국토지주택공사 부산울산지역본부,건설사업관리부,용역형 건설사업관리,본사업,진행,"㈜경동엔지니어링(35), ㈜도화엔지니어링(25), ㈜수성엔지니어링(20), ㈜경호엔지니어링종합건축사사무소(20)",2021-11-11,2028-07-16,비주관사
C20210215,금호강 고모지구 하천환경정비사업 건설사업관리용역,감리,국내,낙동강유역환경청,건설사업관리부,용역형 건설사업관리,본사업,진행,"㈜수성엔지니어링(90), ㈜한맥기술(10)",2021-11-05,2025-05-13,주관사
C20210214,춘천~속초 철도건설 제3공구 노반 실시설계용역,설계,국내,국가철도공단,철도설계부,설계시공분리발주,본사업,준공,"㈜대한콘설탄트(47.98), ㈜수성엔지니어링(13.08), 동부엔지니어링㈜(13.08), ㈜유신(13.08), 지에스(12.78)",2021-11-02,2024-12-13,비주관사
C20210213,춘천~속초 철도건설 제8공구 및 강릉~제진 제6공구 노반 실시설계용역,설계,국내,국가철도공단,철도설계부,설계시공분리발주,본사업,중지,"㈜유신(48.26), 동부엔지니어링㈜(13.16), ㈜수성엔지니어링(13.16), ㈜대한콘설탄트(13.16), ㈜일신이앤씨(12.25)",2021-11-02,2023-12-31,비주관사
C20210212,서울도시철도 9호선 4단계 연장사업 2공구 건설공사 T/K 실시설계용역 중 실시설계 1식,설계,국내,㈜동해종합기술공사,구조부,설계시공분리발주,본사업,준공,㈜수성엔지니어링(100),2021-10-05,2022-05-31,주관사
C20210211A,사천시 상수도관망 기술진단 용역_추가A,설계,국내,㈜삼안,상하수도부,기타,지분차액,준공,㈜수성엔지니어링(100),2022-07-18,2022-10-26,주관사
C20210211,사천시 상수도관망 기술진단 용역,설계,국내,경상남도 사천시 상하수도사업소,상하수도부,설계시공분리발주,본사업,준공,"㈜수성엔지니어링(45), ㈜삼안(35), 부경엔지니어링㈜(20)",2021-10-22,2022-12-25,주관사
C20210210,용인 포곡스마트 물류단지 진입도로 설계 및 건설단계 건설사업관리용역,설계,국내,주식회사 딩동,도로부,설계시공분리발주,본사업,진행,㈜수성엔지니어링(100),2021-10-21,2024-01-08,주관사
C20210209,파주시 노후 및 문산.파주.법원 하수관로 정비사업 기본 및 실시설계,설계,국내,한국환경공단,상하수도부,설계시공분리발주,본사업,중지,"㈜수성엔지니어링(40), ㈜삼안(30), ㈜케이지엔지니어링종합건축사사무소(30)",2021-10-14,2023-04-10,주관사
C20210208,경남 초전신도심 기본구상 용역,설계,국내,경남개발공사,도시계획부,설계시공분리발주,본사업,중지,㈜수성엔지니어링(100),2021-10-12,2022-07-11,주관사
C20210207,인천계양 공공주택지구 조성공사 시공책임형 건설사업관리방식 입찰 설계용역2,설계,국내,㈜태영건설,구조부,설계시공일괄발주(T/K),본사업,준공,㈜수성엔지니어링(100),2021-09-01,2021-12-31,주관사
C20210206,창원 삼정자공원 해제지역 타당성검토 용역,설계,국내,경상남도 창원시,도시계획부,설계시공분리발주,본사업,준공,㈜수성엔지니어링(100),2021-10-07,2021-12-31,주관사
C20210205,하동군 친환경에너지타운 조성사업 기본 및 실시설계,설계,국내,한국환경공단,상하수도부,설계시공분리발주,본사업,진행,"벽산엔지니어링㈜(42), ㈜수성엔지니어링(30), ㈜동일기술공사(28)",2021-10-06,2025-04-09,비주관사
C20210204,섬진강댐 및 섬진강댐 하류권역 하천기본계획 전략환경영향평가용역,설계,국내,영산강유역환경청,환경사업부,설계시공분리발주,본사업,준공,"디에스(38), 한국기술개발㈜(37), ㈜수성엔지니어링(25)",2021-10-06,2024-12-21,비주관사
C20210203,김포시 대곶면 대벽리 일반산업단지 조사설계 용역,설계,국내,(주)삼광개발,도시계획부,설계시공분리발주,본사업,진행,㈜수성엔지니어링(100),2021-09-29,2026-12-31,주관사
C20210202,서울도시철도 9호선 4단계 연장사업 2공구 건설공사 T/K 실시설계(구조특화 용역),설계,국내,㈜태영건설,구조부,설계시공일괄발주(T/K),본사업,준공,㈜수성엔지니어링(100),2021-09-28,2022-05-31,주관사
C20210201,서울도시철도 9호선 4단계 연장사업 2공구 건설공사 T/K 실시설계용역,설계,국내,㈜태영건설,구조부,설계시공일괄발주(T/K),본사업,준공,"㈜삼안(29.45), ㈜한맥기술(11.77), ㈜동해종합기술공사(11.29), ㈜수성엔지니어링(11.29), ㈜이가플랜건축사사무소(10.37), (주)에스코컨설턴트(7.75), (주) 범창종합기술(7.1), ㈜청우디엔시(5.81), ㈜다산컨설턴트(5.17)",2021-09-28,2022-05-31,비주관사
C20210200,이천양평1공구 진우분기점교 하부성토관련 설계용역,설계,국내,지에스건설㈜,구조부,설계시공분리발주,본사업,준공,㈜수성엔지니어링(100),2021-09-06,2022-05-31,주관사
C20210199,황룡강 송정지구 소규모환경영향평가용역,설계,국내,영산강유역환경청,환경사업부,설계시공분리발주,본사업,준공,㈜수성엔지니어링(100),2021-09-28,2024-02-20,주관사
C20210198,북부 도시계획도로 건설공사 실시설계용역(지반조사),설계,국내,㈜토아엔지니어링,지반부,설계시공분리발주,본사업,준공,㈜수성엔지니어링(100),2021-03-19,2021-09-14,주관사
C20210197,행정중심복합도시 수질복원센터(D) 건설공사 시공단계 감독 권한대행 등 건설사업관리용역,감리,국내,한국토지주택공사,건설사업관리부,용역형 건설사업관리,본사업,진행,"㈜도화엔지니어링(45), ㈜경호엔지니어링종합건축사사무소(25), ㈜수성엔지니어링(20), (주) 해마종합건축사사무소(10)",2021-09-29,2025-10-06,비주관사
C20210196,대전차량기술단 인입철도 이설공사 감독 권한대행 등 건설사업관리용역,감리,국내,국가철도공단,철도건설관리부,종합심사낙찰제(미사용),본사업,진행,"동부엔지니어링㈜(40), ㈜이산(20), ㈜수성엔지니어링(20), ㈜대한콘설탄트(20)",2021-09-28,2024-12-31,비주관사
C20210195,포천시 도시교통정비계획 수립 및 주차수급실태조사 용역,설계,국내,경기도 포천시,교통부,설계시공분리발주,본사업,준공,"㈜케이지엔지니어링종합건축사사무소(57), ㈜수성엔지니어링(43)",2021-09-15,2022-12-30,비주관사
C20210194,여수 화태-백야(2공구) 도로건설공사 건설사업관리용역,감리,국내,익산지방국토관리청,건설사업관리부,용역형 건설사업관리,본사업,진행,"㈜동성엔지니어링(31), ㈜한국종합기술(26), ㈜수성엔지니어링(24), ㈜삼안(19)",2021-09-23,2026-02-05,비주관사
C20210192,혁신원자력연구단지 구축공사 건설사업관리용역(감독권한대행),감리,국내,한국원자력연구원,건설사업관리부,용역형 건설사업관리,본사업,진행,"㈜선진엔지니어링종합건축사사무소(64.44), ㈜수성엔지니어링(35.56)",2021-09-03,2025-12-31,비주관사
C20210191,사천지구(3단계) 하수관로 설치사업 건설사업관리용역,감리,국내,경상남도 사천시,건설사업관리부,용역형 건설사업관리,본사업,진행,"㈜수성엔지니어링(55), ㈜도화엔지니어링(45)",2021-09-16,2025-12-31,주관사
C20210190,미호천 여천지구 등 3개소 하천정비사업 건설사업관리(시공단계)용역,감리,국내,금강유역환경청,건설사업관리부,용역형 건설사업관리,본사업,진행,"㈜수성엔지니어링(48.71), ㈜케이씨아이(38.06), ㈜평화엔지니어링(13.23)",2021-09-23,2024-12-24,주관사
C20210189,충주안림 도시개발사업지구(환지방식) 조사설계용역,설계,국내,한국토지주택공사,도시설계부,종합심사낙찰제(미사용),본사업,진행,"㈜도화엔지니어링(32), ㈜경동엔지니어링(21), ㈜수성엔지니어링(19), ㈜경호엔지니어링종합건축사사무소(15), ㈜동성엔지니어링(13)",2021-09-09,2028-03-31,비주관사
C20210188,하남교산 공공주택지구 실시설계용역,설계,국내,한국토지주택공사,도시설계부,종합심사낙찰제(미사용),본사업,진행,"㈜도화엔지니어링(31), ㈜수성엔지니어링(22), ㈜경동엔지니어링(21), ㈜케이지엔지니어링종합건축사사무소(14), ㈜제일엔지니어링종합건축사사무소(12)",2021-09-09,2028-12-31,비주관사
C20210187,구미 거의1지구 도시개발사업 건설사업관리용역,감리,국내,경상북도 구미시,건설사업관리부,용역형 건설사업관리,본사업,준공,"㈜수성엔지니어링(70), (주)보원씨엠건축사사무소(10), ㈜상금엔지니어링(10), 극동엔지니어링㈜(10)",2021-09-07,2024-11-06,주관사
C20210186,대구국가산단 배수처리시설 및 오폐수중계펌프장 건설공사 시공단계 감독 권한대행 등 건설사업관리용역,감리,국내,한국토지주택공사,건설사업관리부,용역형 건설사업관리,본사업,중지,"㈜도화엔지니어링(60), ㈜수성엔지니어링(30), ㈜경동엔지니어링(10)",2021-09-09,2025-01-29,비주관사
C20210185,영동대로 지하공간 복합개발 4공구 건설공사(토목) 실시설계기술제안 용역,설계,국내,롯데건설㈜,구조부,턴키(미사용),본사업,준공,"㈜삼보기술단(50.12), ㈜수성엔지니어링(25.77), 단우(24.11)",2021-08-31,2021-12-31,비주관사
C20210184,과천R&D캠퍼스 부지 용도지역 변경 용역,설계,국내,㈜엘지에너지솔루션,도시계획부,설계시공분리발주,본사업,준공,㈜수성엔지니어링(100),2021-08-31,2023-05-23,주관사
C20210183,용인 삼가지구 복합개발사업에 따른 지형현황측량,설계,국내,(주)우대이엔피,플랫폼사업실,설계시공분리발주,본사업,진행,㈜수성엔지니어링(100),2021-08-26,2022-08-25,주관사
C20210182,엘살바도르 태평양철도 개발지원사업 타당성조사,설계,해외,CABEI(Central American Bank of Economic Integration),철도설계부,해외(미사용),본사업,준공,"㈜수성엔지니어링(48.28), ㈜동명기술공단종합건축사사무소(36.42), 국가철도공단(10.2), ㈜평화엔지니어링(5.1)",2021-08-24,2023-05-31,주관사
C20210181,창원육교외 1개소 정밀안전점검용역,설계,국내,경상남도 창원특례시 마산회원구,안전진단부,설계시공분리발주,본사업,준공,㈜수성엔지니어링(100),2021-08-26,2021-12-17,주관사
C20210180A,파주운정3지구 택지개발사업(5공구) 조경(공원 녹지 등) 기본 및 실시설계용역_추가A,설계,국내,㈜건화,조경레저부,기타,지분차액,준공,㈜수성엔지니어링(100),2021-10-05,2024-12-31,주관사
C20210180,파주운정3지구 택지개발사업(5공구) 조경(공원 녹지 등) 기본 및 실시설계용역,설계,국내,한국토지주택공사,조경레저부,설계시공분리발주,본사업,진행,"㈜건화(55), ㈜수성엔지니어링(35), 주식회사 명산엔지니어링(10)",2021-09-01,2025-03-31,비주관사
C20210179,수원역 동측 환승센터 건립 타당성평가 및 기본계획 수립 용역,설계,국내,경기도 수원특례시,교통부,설계시공분리발주,본사업,준공,"㈜수성엔지니어링(45.05), 신명이엔씨(주)(39.95), ㈜케이지엔지니어링종합건축사사무소(15)",2021-08-23,2023-06-04,주관사
C20210178,평창터널 민간투자사업 기본설계 및 제영향평가 용역,설계,국내,㈜태영건설,도로부,설계시공분리발주,본사업,준공,㈜수성엔지니어링(100),2021-08-13,2023-12-31,주관사
C20210177A,울산송정지구 택지개발사업 사후환경영향조사(운영시)용역_추가A,설계,국내,대현종합기술㈜,환경사업부,기타,지분차액,준공,㈜수성엔지니어링(100),2021-08-17,2023-12-31,주관사
C20210177,울산송정지구 택지개발사업 사후환경영향조사(운영시)용역,설계,국내,한국토지주택공사 부산울산지역본부,환경사업부,설계시공분리발주,본사업,준공,"㈜수성엔지니어링(80), 대현종합기술㈜(20)",2021-08-17,2023-12-31,주관사
C20210176B,성남시 지방대중교통계획 및 교통약자 이동편의 증진계획 수립 용역_추가B,설계,국내,㈜케이지엔지니어링종합건축사사무소,교통부,설계시공분리발주,지분차액,준공,㈜수성엔지니어링(100),2021-11-25,2022-08-19,주관사
C20210176A,성남시 지방대중교통계획 및 교통약자 이동편의 증진계획 수립 용역_추가A,설계,국내,㈜건화,교통부,설계시공분리발주,지분차액,준공,㈜수성엔지니어링(100),2021-11-30,2023-01-30,주관사
C20210176,성남시 지방대중교통계획 및 교통약자 이동편의 증진계획 수립 용역,설계,국내,경기도 성남시,교통부,지명경쟁입찰(PQ)(미사용),본사업,준공,"㈜수성엔지니어링(46), ㈜케이지엔지니어링종합건축사사무소(38), ㈜건화(16)",2021-08-17,2022-12-16,주관사
C20210175A,댐유역 생태계복원 기본구상 및 중장기계획 수립 용역_추가A,설계,국내,㈜한맥기술,조경레저부,기타,지분차액,준공,㈜수성엔지니어링(100),2021-08-11,2022-12-18,주관사
C20210175,댐유역 생태계복원 기본구상 및 중장기계획 수립 용역,설계,국내,한국수자원공사,조경레저부,지명경쟁입찰(PQ)(미사용),본사업,준공,"㈜수성엔지니어링(50), ㈜동일기술공사(33), ㈜한맥기술(17)",2021-08-11,2022-12-18,주관사
C20210174,세종시 장군면 도시개발사업 조사설계용역,설계,국내,㈜원건설산업,도시계획부,설계시공분리발주,본사업,진행,㈜수성엔지니어링(100),2021-08-09,2025-12-31,주관사
C20210173,경원선 전철 역사주변 활성화사업외 2개소 통합건설사업 관리용역,감리,국내,경기도 연천군,건설사업관리부,용역형 건설사업관리,본사업,진행,"㈜선진엔지니어링종합건축사사무소(40), ㈜수성엔지니어링(30), ㈜제일엔지니어링종합건축사사무소(30)",2021-08-03,2026-04-19,비주관사
C20210172,방글라데시 다카순환철도 PPP사업 예비타당성 조사 및 우선구간 본 타당성 조사,설계,해외,한국해외인프라도시개발지원공사,구조부,설계시공분리발주,본사업,준공,"㈜도화엔지니어링(36), ㈜유신(25.2), 한영회계법인(18), ㈜수성엔지니어링(10.8), 서울교통공사(10)",2021-08-10,2022-08-31,비주관사
C20210171,우즈벡 타슈켄트 하수처리시설 사업 타당성 조사,설계,해외,한국해외인프라도시개발지원공사,상하수도부,설계시공분리발주,본사업,준공,"㈜삼안(32.4), (유)삼일회계법인(29.7), 법무법인 (유한) 태평양(24.3), ㈜수성엔지니어링(13.6)",2021-07-30,2022-06-14,비주관사
C20210170,나노융합 국가산단 공공폐수처리시설 별도배출허용기준 수립용역,설계,국내,경상남도 밀양시,상하수도부,설계시공분리발주,본사업,준공,㈜수성엔지니어링(100),2021-08-06,2022-11-08,주관사
C20210169A,매송 공공하수처리시설 증설 설치사업 기본 및 실시설계_추가A,설계,국내,㈜삼안,상하수도부,기타,지분차액,진행,㈜수성엔지니어링(100),2021-10-13,2022-09-03,주관사
C20210169,매송 공공하수처리시설 증설 설치사업 기본 및 실시설계,설계,국내,봉담내리지구 도시개발사업조합,상하수도부,설계시공분리발주,본사업,진행,"㈜수성엔지니어링(60), ㈜삼안(40)",2021-08-02,2022-09-03,주관사
C20210168,성서택지지구 일원 노후 하수관로 정비사업 실시설계용역,설계,국내,대구광역시 달서구,상하수도부,지명경쟁입찰(PQ)(미사용),본사업,준공,"㈜수성엔지니어링(70), ㈜가람엔지니어링(30)",2021-08-02,2025-01-03,주관사
C20210167,밀양시 생태하천복원사업 타당성조사 및 수생태계복원 계획수립 용역,설계,국내,경상남도 밀양시,수자원부,설계시공분리발주,본사업,준공,㈜수성엔지니어링(100),2021-07-30,2022-12-22,주관사
C20210166,태백 철암 고터실 산업단지 조성사업 개발계획수립 및 기본.실시설계 용역,설계,국내,한국농어촌공사 강원지역본부,도시계획부,설계시공분리발주,본사업,준공,"㈜동명기술공단종합건축사사무소(42.65), ㈜도화엔지니어링(31.52), ㈜수성엔지니어링(9.27), ㈜서영엔지니어링(9.27), 주식회사 동희이앤씨(7.29)",2021-07-22,2024-08-31,비주관사
C20210165A,성산 농어촌마을 하수도 설치사업 실시설계용역_추가A,설계,국내,㈜삼안,상하수도부,기타,지분차액,준공,㈜수성엔지니어링(100),2021-09-29,2024-05-20,주관사
